# Pe    mu
2.506266e+00 2.699099e+02
2.506266e+00 2.701201e+02
2.506266e+00 2.703303e+02
2.531328e+00 2.705405e+02
2.531328e+00 2.707508e+02
2.531328e+00 2.709610e+02
2.531328e+00 2.711712e+02
2.531328e+00 2.713814e+02
2.531328e+00 2.715916e+02
2.556391e+00 2.718018e+02
2.556391e+00 2.720120e+02
2.556391e+00 2.722222e+02
2.556391e+00 2.724324e+02
2.556391e+00 2.726426e+02
2.581454e+00 2.728529e+02
2.581454e+00 2.730631e+02
2.581454e+00 2.732733e+02
2.581454e+00 2.734835e+02
2.581454e+00 2.736937e+02
2.581454e+00 2.739039e+02
2.606516e+00 2.741141e+02
2.606516e+00 2.743243e+02
2.606516e+00 2.745345e+02
2.606516e+00 2.747447e+02
2.606516e+00 2.749550e+02
2.606516e+00 2.751652e+02
2.631579e+00 2.753754e+02
2.631579e+00 2.755856e+02
2.631579e+00 2.757958e+02
2.631579e+00 2.760060e+02
2.631579e+00 2.762162e+02
2.656642e+00 2.764264e+02
2.656642e+00 2.766366e+02
2.656642e+00 2.768468e+02
2.656642e+00 2.770571e+02
2.656642e+00 2.772673e+02
2.656642e+00 2.774775e+02
2.681704e+00 2.776877e+02
2.681704e+00 2.778979e+02
2.681704e+00 2.781081e+02
2.681704e+00 2.783183e+02
2.681704e+00 2.785285e+02
2.681704e+00 2.787387e+02
2.706767e+00 2.789489e+02
2.706767e+00 2.791592e+02
2.706767e+00 2.793694e+02
2.706767e+00 2.795796e+02
2.706767e+00 2.797898e+02
2.706767e+00 2.800000e+02
1.002506e-01 1.940240e+02
1.754386e-01 1.942342e+02
2.506266e-01 1.944444e+02
2.756892e-01 1.946547e+02
3.258145e-01 1.948649e+02
3.759398e-01 1.950751e+02
4.010025e-01 1.952853e+02
4.260652e-01 1.954955e+02
4.511278e-01 1.957057e+02
4.761905e-01 1.959159e+02
5.012531e-01 1.961261e+02
5.263158e-01 1.963363e+02
5.513784e-01 1.965465e+02
5.764411e-01 1.967568e+02
6.015038e-01 1.969670e+02
6.265664e-01 1.971772e+02
6.265664e-01 1.973874e+02
6.516291e-01 1.975976e+02
6.766917e-01 1.978078e+02
7.017544e-01 1.980180e+02
7.017544e-01 1.982282e+02
7.268170e-01 1.984384e+02
7.518797e-01 1.986486e+02
7.518797e-01 1.988589e+02
7.769424e-01 1.990691e+02
8.020050e-01 1.992793e+02
8.020050e-01 1.994895e+02
8.270677e-01 1.996997e+02
8.521303e-01 1.999099e+02
8.521303e-01 2.001201e+02
8.771930e-01 2.003303e+02
8.771930e-01 2.005405e+02
9.022556e-01 2.007508e+02
9.022556e-01 2.009610e+02
9.273183e-01 2.011712e+02
9.523810e-01 2.013814e+02
9.523810e-01 2.015916e+02
9.774436e-01 2.018018e+02
9.774436e-01 2.020120e+02
1.002506e+00 2.022222e+02
1.002506e+00 2.024324e+02
1.027569e+00 2.026426e+02
1.027569e+00 2.028529e+02
1.052632e+00 2.030631e+02
1.052632e+00 2.032733e+02
1.077694e+00 2.034835e+02
1.077694e+00 2.036937e+02
1.077694e+00 2.039039e+02
1.102757e+00 2.041141e+02
1.102757e+00 2.043243e+02
1.127820e+00 2.045345e+02
1.127820e+00 2.047447e+02
1.152882e+00 2.049550e+02
1.152882e+00 2.051652e+02
1.177945e+00 2.053754e+02
1.177945e+00 2.055856e+02
1.177945e+00 2.057958e+02
1.203008e+00 2.060060e+02
1.203008e+00 2.062162e+02
1.228070e+00 2.064264e+02
1.228070e+00 2.066366e+02
1.253133e+00 2.068468e+02
1.253133e+00 2.070571e+02
1.253133e+00 2.072673e+02
1.278195e+00 2.074775e+02
1.278195e+00 2.076877e+02
1.303258e+00 2.078979e+02
1.303258e+00 2.081081e+02
1.303258e+00 2.083183e+02
1.328321e+00 2.085285e+02
1.328321e+00 2.087387e+02
1.328321e+00 2.089489e+02
1.353383e+00 2.091592e+02
1.353383e+00 2.093694e+02
1.378446e+00 2.095796e+02
1.378446e+00 2.097898e+02
1.378446e+00 2.100000e+02
1.403509e+00 2.102102e+02
1.403509e+00 2.104204e+02
1.403509e+00 2.106306e+02
1.428571e+00 2.108408e+02
1.428571e+00 2.110511e+02
1.428571e+00 2.112613e+02
1.453634e+00 2.114715e+02
1.453634e+00 2.116817e+02
1.453634e+00 2.118919e+02
1.478697e+00 2.121021e+02
1.478697e+00 2.123123e+02
1.503759e+00 2.125225e+02
1.503759e+00 2.127327e+02
1.503759e+00 2.129429e+02
1.528822e+00 2.131532e+02
1.528822e+00 2.133634e+02
1.528822e+00 2.135736e+02
1.553885e+00 2.137838e+02
1.553885e+00 2.139940e+02
1.553885e+00 2.142042e+02
1.553885e+00 2.144144e+02
1.578947e+00 2.146246e+02
1.578947e+00 2.148348e+02
1.578947e+00 2.150450e+02
1.604010e+00 2.152553e+02
1.604010e+00 2.154655e+02
1.604010e+00 2.156757e+02
1.629073e+00 2.158859e+02
1.629073e+00 2.160961e+02
1.629073e+00 2.163063e+02
1.654135e+00 2.165165e+02
1.654135e+00 2.167267e+02
1.654135e+00 2.169369e+02
1.679198e+00 2.171471e+02
1.679198e+00 2.173574e+02
1.679198e+00 2.175676e+02
1.679198e+00 2.177778e+02
1.704261e+00 2.179880e+02
1.704261e+00 2.181982e+02
1.704261e+00 2.184084e+02
1.729323e+00 2.186186e+02
1.729323e+00 2.188288e+02
1.729323e+00 2.190390e+02
1.754386e+00 2.192492e+02
1.754386e+00 2.194595e+02
1.754386e+00 2.196697e+02
1.754386e+00 2.198799e+02
1.779449e+00 2.200901e+02
1.779449e+00 2.203003e+02
1.779449e+00 2.205105e+02
1.804511e+00 2.207207e+02
1.804511e+00 2.209309e+02
1.804511e+00 2.211411e+02
1.804511e+00 2.213514e+02
1.829574e+00 2.215616e+02
1.829574e+00 2.217718e+02
1.829574e+00 2.219820e+02
1.829574e+00 2.221922e+02
1.854637e+00 2.224024e+02
1.854637e+00 2.226126e+02
1.854637e+00 2.228228e+02
1.879699e+00 2.230330e+02
1.879699e+00 2.232432e+02
1.879699e+00 2.234535e+02
1.879699e+00 2.236637e+02
1.904762e+00 2.238739e+02
1.904762e+00 2.240841e+02
1.904762e+00 2.242943e+02
1.904762e+00 2.245045e+02
1.929825e+00 2.247147e+02
1.929825e+00 2.249249e+02
1.929825e+00 2.251351e+02
1.929825e+00 2.253453e+02
1.954887e+00 2.255556e+02
1.954887e+00 2.257658e+02
1.954887e+00 2.259760e+02
1.979950e+00 2.261862e+02
1.979950e+00 2.263964e+02
1.979950e+00 2.266066e+02
1.979950e+00 2.268168e+02
2.005013e+00 2.270270e+02
2.005013e+00 2.272372e+02
2.005013e+00 2.274474e+02
2.005013e+00 2.276577e+02
2.030075e+00 2.278679e+02
2.030075e+00 2.280781e+02
2.030075e+00 2.282883e+02
2.030075e+00 2.284985e+02
2.055138e+00 2.287087e+02
2.055138e+00 2.289189e+02
2.055138e+00 2.291291e+02
2.055138e+00 2.293393e+02
2.080201e+00 2.295495e+02
2.080201e+00 2.297598e+02
2.080201e+00 2.299700e+02
2.080201e+00 2.301802e+02
2.105263e+00 2.303904e+02
2.105263e+00 2.306006e+02
2.105263e+00 2.308108e+02
2.105263e+00 2.310210e+02
2.105263e+00 2.312312e+02
2.130326e+00 2.314414e+02
2.130326e+00 2.316517e+02
2.130326e+00 2.318619e+02
2.130326e+00 2.320721e+02
2.155388e+00 2.322823e+02
2.155388e+00 2.324925e+02
2.155388e+00 2.327027e+02
2.155388e+00 2.329129e+02
2.180451e+00 2.331231e+02
2.180451e+00 2.333333e+02
2.180451e+00 2.335435e+02
2.180451e+00 2.337538e+02
2.205514e+00 2.339640e+02
2.205514e+00 2.341742e+02
2.205514e+00 2.343844e+02
2.205514e+00 2.345946e+02
2.205514e+00 2.348048e+02
2.230576e+00 2.350150e+02
2.230576e+00 2.352252e+02
2.230576e+00 2.354354e+02
2.230576e+00 2.356456e+02
2.255639e+00 2.358559e+02
2.255639e+00 2.360661e+02
2.255639e+00 2.362763e+02
2.255639e+00 2.364865e+02
2.255639e+00 2.366967e+02
2.280702e+00 2.369069e+02
2.280702e+00 2.371171e+02
2.280702e+00 2.373273e+02
2.280702e+00 2.375375e+02
2.305764e+00 2.377477e+02
2.305764e+00 2.379580e+02
2.305764e+00 2.381682e+02
2.305764e+00 2.383784e+02
2.305764e+00 2.385886e+02
2.330827e+00 2.387988e+02
2.330827e+00 2.390090e+02
2.330827e+00 2.392192e+02
2.330827e+00 2.394294e+02
2.355890e+00 2.396396e+02
2.355890e+00 2.398498e+02
2.355890e+00 2.400601e+02
2.355890e+00 2.402703e+02
2.355890e+00 2.404805e+02
2.380952e+00 2.406907e+02
2.380952e+00 2.409009e+02
2.380952e+00 2.411111e+02
2.380952e+00 2.413213e+02
2.380952e+00 2.415315e+02
2.406015e+00 2.417417e+02
2.406015e+00 2.419520e+02
2.406015e+00 2.421622e+02
2.406015e+00 2.423724e+02
2.431078e+00 2.425826e+02
2.431078e+00 2.427928e+02
2.431078e+00 2.430030e+02
2.431078e+00 2.432132e+02
2.431078e+00 2.434234e+02
2.456140e+00 2.436336e+02
2.456140e+00 2.438438e+02
2.456140e+00 2.440541e+02
2.456140e+00 2.442643e+02
2.456140e+00 2.444745e+02
2.481203e+00 2.446847e+02
2.481203e+00 2.448949e+02
2.481203e+00 2.451051e+02
2.481203e+00 2.453153e+02
2.481203e+00 2.455255e+02
2.506266e+00 2.457357e+02
2.506266e+00 2.459459e+02
2.506266e+00 2.461562e+02
2.506266e+00 2.463664e+02
2.506266e+00 2.465766e+02
2.531328e+00 2.467868e+02
2.531328e+00 2.469970e+02
2.531328e+00 2.472072e+02
2.531328e+00 2.474174e+02
2.531328e+00 2.476276e+02
2.556391e+00 2.478378e+02
2.556391e+00 2.480480e+02
2.556391e+00 2.482583e+02
2.556391e+00 2.484685e+02
2.556391e+00 2.486787e+02
2.581454e+00 2.488889e+02
2.581454e+00 2.490991e+02
2.581454e+00 2.493093e+02
